epoch,test/accuracy_mean,test/accuracy_0,test/accuracy_1,test/accuracy,test/accuracytop5,general/checkpoint_saved
135,96.34%,96.21%,96.48%,96.83%,99.97%,0.0
136,96.50%,96.46%,96.55%,96.98%,99.95%,0.0
137,96.71%,96.59%,96.84%,97.23%,99.95%,1.0
138,96.60%,96.78%,96.42%,97.13%,99.97%,0.0
139,96.61%,96.60%,96.62%,97.02%,99.96%,0.0
140,96.50%,96.42%,96.57%,96.85%,99.98%,0.0
141,96.69%,96.71%,96.66%,97.19%,99.97%,0.0
142,96.69%,96.69%,96.68%,97.28%,99.96%,1.0
143,96.68%,96.86%,96.50%,97.09%,99.99%,0.0
144,96.63%,96.68%,96.58%,97.18%,99.95%,0.0
145,96.72%,96.83%,96.62%,97.14%,99.94%,0.0
146,96.77%,96.88%,96.66%,97.09%,99.96%,0.0
147,96.74%,96.86%,96.62%,97.25%,99.96%,0.0
148,96.75%,96.80%,96.71%,97.14%,99.93%,0.0
149,96.82%,96.95%,96.68%,97.23%,99.96%,0.0
150,96.81%,96.84%,96.78%,97.31%,99.95%,1.0
151,96.81%,96.79%,96.83%,97.24%,99.97%,0.0
152,96.83%,96.92%,96.74%,97.19%,99.97%,0.0
153,96.82%,96.95%,96.68%,97.08%,99.97%,0.0
154,96.87%,96.94%,96.80%,97.26%,99.97%,0.0
155,96.82%,96.83%,96.80%,97.26%,99.97%,0.0
156,96.83%,96.86%,96.79%,97.12%,99.96%,0.0
157,96.80%,96.81%,96.78%,97.25%,99.97%,0.0
151,96.87%,96.91%,96.83%,97.24%,99.96%,1.0
152,96.75%,96.75%,96.76%,97.01%,99.97%,0.0
153,96.86%,96.89%,96.84%,97.20%,99.97%,0.0
154,96.79%,96.81%,96.77%,97.16%,99.97%,0.0
155,96.85%,96.87%,96.83%,97.30%,99.98%,1.0
156,96.80%,96.86%,96.73%,97.20%,99.98%,0.0
157,96.89%,96.92%,96.85%,97.29%,99.95%,0.0
158,96.91%,96.90%,96.92%,97.28%,99.98%,0.0
159,96.91%,96.96%,96.87%,97.21%,99.98%,0.0
160,96.79%,96.85%,96.73%,97.19%,99.98%,0.0
161,96.70%,96.64%,96.76%,97.23%,99.98%,0.0
162,96.91%,96.97%,96.85%,97.38%,99.96%,1.0
