epoch,test/accuracy,test/accuracytop5,general/checkpoint_saved
307,50.90%,75.81%,0.0
308,50.75%,74.48%,0.0
309,47.90%,73.12%,0.0
310,51.33%,76.14%,0.0
311,50.83%,75.71%,0.0
312,49.68%,75.41%,0.0
313,50.52%,76.16%,0.0
314,49.51%,74.63%,0.0
315,50.87%,76.07%,0.0
316,47.51%,72.63%,0.0
317,47.60%,73.47%,0.0
318,49.83%,75.07%,0.0
319,49.76%,74.91%,0.0
320,51.30%,75.08%,0.0
321,50.47%,75.51%,0.0
322,49.18%,74.26%,0.0
323,51.32%,76.63%,0.0
324,48.46%,73.77%,0.0
325,49.70%,75.71%,0.0
326,49.88%,74.65%,0.0
327,50.31%,75.65%,0.0
328,49.95%,75.89%,0.0
329,50.14%,75.07%,0.0
330,49.73%,74.76%,0.0
331,49.29%,74.48%,0.0
332,50.34%,75.53%,0.0
333,50.24%,76.57%,0.0
334,50.82%,75.28%,0.0
335,50.42%,74.83%,0.0
336,48.65%,74.32%,0.0
337,50.55%,75.62%,0.0
338,51.10%,76.28%,0.0
339,51.74%,76.14%,0.0
340,49.13%,74.43%,0.0
341,50.08%,76.05%,0.0
342,48.03%,73.39%,0.0
343,47.49%,73.74%,0.0
344,52.14%,77.01%,0.0
345,47.90%,74.09%,0.0
346,50.80%,76.68%,0.0
347,49.51%,75.09%,0.0
348,50.33%,75.67%,0.0
349,49.84%,74.41%,0.0
350,50.38%,75.68%,0.0
351,51.55%,76.87%,0.0
352,50.52%,75.81%,0.0
353,51.61%,76.11%,0.0
354,51.00%,75.85%,0.0
355,48.23%,72.85%,0.0
356,49.61%,74.88%,0.0
357,50.31%,75.70%,0.0
358,49.84%,75.87%,0.0
359,50.75%,75.58%,0.0
360,50.14%,74.95%,0.0
361,48.73%,73.94%,0.0
362,50.31%,75.47%,0.0
363,50.35%,75.78%,0.0
364,50.65%,76.05%,0.0
365,47.80%,73.47%,0.0
366,49.09%,74.67%,0.0
367,49.67%,75.21%,0.0
368,49.67%,75.04%,0.0
369,51.53%,76.46%,0.0
370,51.12%,76.03%,0.0
371,48.59%,73.48%,0.0
372,48.57%,73.80%,0.0
373,50.04%,76.02%,0.0
374,49.85%,74.60%,0.0
375,51.56%,76.50%,0.0
376,53.84%,77.12%,1.0
377,49.49%,74.57%,0.0
378,52.42%,77.40%,0.0
379,50.38%,75.56%,0.0
380,51.35%,76.04%,0.0
381,48.59%,74.11%,0.0
382,49.71%,74.46%,0.0
383,50.98%,75.67%,0.0
384,50.05%,75.30%,0.0
385,48.11%,74.62%,0.0
386,49.51%,73.80%,0.0
387,51.65%,77.02%,0.0
388,51.49%,75.65%,0.0
389,50.86%,75.52%,0.0
390,47.50%,73.48%,0.0
391,50.25%,74.78%,0.0
