epoch,test/accuracy_mean,test/accuracy_0,test/accuracy_1,test/accuracy,test/accuracytop5,general/checkpoint_saved
190,95.43%,95.42%,95.43%,96.30%,99.97%,0
191,95.06%,95.16%,94.95%,95.97%,99.95%,0
192,95.42%,94.99%,95.84%,96.47%,99.94%,0
193,94.61%,94.76%,94.46%,95.74%,99.94%,0
194,95.01%,95.19%,94.83%,96.21%,99.93%,0
195,94.53%,94.31%,94.76%,95.70%,99.96%,0
196,95.61%,95.74%,95.48%,96.49%,99.91%,0
197,95.68%,95.69%,95.67%,96.81%,99.96%,1
198,95.06%,94.70%,95.41%,96.04%,99.97%,0
199,95.26%,94.95%,95.57%,96.38%,99.96%,0
200,95.02%,95.22%,94.82%,95.99%,99.96%,0
201,96.47%,96.41%,96.54%,97.00%,99.97%,1
202,96.74%,96.57%,96.92%,97.11%,99.96%,1
203,96.79%,96.67%,96.91%,97.29%,99.97%,1
204,96.75%,96.67%,96.83%,97.16%,99.96%,0
205,96.70%,96.61%,96.80%,97.24%,99.97%,0
206,96.82%,96.73%,96.90%,97.25%,99.98%,0
207,96.89%,96.87%,96.92%,97.29%,99.97%,1
208,96.80%,96.79%,96.82%,97.17%,99.98%,0
209,96.86%,96.81%,96.92%,97.32%,99.97%,1
210,96.93%,96.92%,96.94%,97.36%,99.94%,1
211,96.76%,96.71%,96.81%,97.38%,99.97%,1
212,96.88%,96.90%,96.85%,97.31%,99.98%,0
213,96.85%,96.88%,96.82%,97.38%,99.95%,1
214,96.95%,96.98%,96.92%,97.26%,99.97%,0
215,96.90%,96.92%,96.88%,97.25%,99.99%,0
216,96.92%,96.87%,96.97%,97.30%,99.98%,0
217,96.93%,96.92%,96.94%,97.40%,99.96%,1
218,96.91%,96.91%,96.92%,97.44%,99.99%,1
219,96.91%,96.79%,97.02%,97.32%,99.98%,0
220,97.01%,96.89%,97.13%,97.38%,99.95%,0
221,97.02%,96.96%,97.08%,97.45%,99.97%,1
222,96.95%,96.83%,97.06%,97.44%,99.98%,0
223,97.00%,96.89%,97.12%,97.42%,99.97%,0
224,96.99%,96.90%,97.08%,97.42%,99.98%,0
225,96.91%,96.84%,96.97%,97.33%,99.96%,0
